H_INIT,V_INIT,TARGET,Kp,Ki,Kd,error
500.0,343.0,3000.0,0.46051468103985055,3.431594861993187e-05,0.0021173934044130416,0.008591341309056588
500.0,411.6,3000.0,0.9571943999680191,1.813092114646693e-05,3.082972058079591e-05,0.02700793540725499
500.0,411.6,4400.0,0.702685664023661,0.00022207562494438348,7.591824276202521e-06,0.002858757345165941
500.0,480.2,3000.0,0.1727897618062784,0.027783490400220958,0.007840084035661632,7.090723540468844
500.0,480.2,4400.0,0.3618254788770072,2.1808344219490527e-06,1.6148260356579475e-05,0.000843091178467148
500.0,548.8,4400.0,0.27394744842226015,1.1767246444005473e-05,1.6248233207572614e-06,0.000643295374175068
500.0,548.8,5800.0,0.1928431120083136,1.4731215348163226e-06,0.00025080975422989984,6.206437592481961e-05
500.0,617.4,4400.0,0.5813490600539007,7.703047294520085e-06,0.0004957191989996133,0.0029838015007044305
500.0,617.4,5800.0,0.20144991344763055,2.1476726661378753e-05,5.33505805645858e-05,0.0010775182900033542
500.0,617.4,7200.0,0.09263805281989754,6.272826954895005e-05,3.9582639306406785e-05,0.017299001701758243
500.0,686.0,4400.0,0.5396498987921805,9.100392241897378e-06,1.2556088582761286e-06,0.00013765968560619513
500.0,686.0,5800.0,0.24083619652535215,7.958082651034787e-06,0.04435828876944449,0.00654192710226198
500.0,686.0,7200.0,0.38660930111678143,5.851003914052526e-06,0.16840476372892274,0.0009118034922721563
1000.0,343.0,3000.0,0.9765815946828525,0.0006039699443515631,6.553562221948148e-06,9.103653555961046
1000.0,343.0,4400.0,0.17189714577389736,0.00022085224115905657,0.001875321262230884,0.004666189833187673
1000.0,411.6,4400.0,0.2822737998310246,7.4568267955273706e-06,9.34461821018088e-05,0.0001290676518692635
1000.0,480.2,4400.0,0.9944760282349749,3.051671546238115e-05,0.00023550310597695296,0.0009391622170369374
1000.0,480.2,5800.0,0.41943990041795187,0.00013571037320557589,0.0595716654690576,0.013836512840498472
1000.0,548.8,4400.0,0.9546978073305971,6.7668221270380585e-06,0.0010115260029765765,0.0039914221088110935
1000.0,548.8,5800.0,0.18203542927116606,2.0686892088608684e-05,0.00043252190249627926,0.009585291839357524
1000.0,548.8,7200.0,0.06736107397067116,0.0005473615991374483,6.882142533423616e-06,0.000574423076614039
1000.0,617.4,4400.0,0.6173088231786211,3.971199246722358e-05,0.01277111268938697,0.05884021839574416
1000.0,617.4,5800.0,0.31380264795836443,1.1323836982387111e-05,1.2209643957194153e-06,0.007883835248321702
1000.0,617.4,7200.0,0.1671271110671443,3.160587211808414e-05,3.8926517297994e-06,0.0035143062923452817
1000.0,686.0,4400.0,0.27149106924491995,0.0016750482648074424,5.042300737516077e-06,0.7789145289871158
1000.0,686.0,5800.0,0.41321564887620715,4.203320568950999e-06,1.521748704091136e-06,0.0034249813743372215
1000.0,686.0,7200.0,0.31858037019872526,1.2399721914584082e-05,2.7537008679590915e-05,0.0007396141663775779
1000.0,686.0,8600.0,0.12481726820695356,1.226827538418489e-05,0.00016553663908379859,0.0002129126642103074
1500.0,343.0,4400.0,0.3828155597084023,5.159921261790749e-05,0.01940308813338884,0.005542518736547208
1500.0,411.6,4400.0,0.6905444608544847,1.1490203925877676e-05,0.00030399814179096367,0.0005614870460703969
1500.0,411.6,5800.0,0.2549085008948875,0.00027747936323472443,3.4951064677707945e-06,0.013970587189760408
1500.0,480.2,4400.0,0.7352664957235551,6.0682290805922745e-05,3.716533042845673e-05,0.29650351479267556
1500.0,480.2,5800.0,0.6458820849991038,6.349293718936326e-05,7.782983498129434e-06,0.0054881435144125135
1500.0,548.8,5800.0,0.5974765061526229,9.538812677989783e-06,0.019273914059831233,0.00011673929748212686
1500.0,548.8,7200.0,0.10597385703881387,1.6192448703668002e-05,0.0013835957392675082,0.0031900362873784616
1500.0,617.4,5800.0,0.5113682910310466,2.957763715081923e-06,0.24391032000228552,0.0011405749519326491
1500.0,617.4,7200.0,0.33987395397421355,3.0624425436858552e-06,0.0004036278070040138,0.00036998621180828195
1500.0,617.4,8600.0,0.16480711954838306,7.64359285558819e-06,0.003206361205266357,6.66009455017047e-05
1500.0,686.0,5800.0,0.9578170507769461,1.7915949578950575e-06,0.02696241251578011,0.0005747921104557463
1500.0,686.0,7200.0,0.4517707305942094,1.5915505083279843e-05,0.015090658495192586,0.01192801652723574
1500.0,686.0,8600.0,0.13585735964319,1.1157419048193176e-05,2.7065799906051857e-05,0.0023764304714859463
2000.0,343.0,4400.0,0.9770568093987503,2.7842378726155565e-05,1.2217283672517676e-05,0.01979420162297174
2000.0,411.6,5800.0,0.4802266677461591,8.737940510391918e-05,2.9632128502928818e-05,0.005151772565113788
2000.0,480.2,5800.0,0.9465834346431539,1.6130847584159875e-06,0.10628956907378297,0.00038103131009847857
